Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2801:b6:200:1213:68fa:b0b:4983:bb81,Paraná,2022-09-22T16:42:02.426Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:68fa:b0b:4983:bb81,São Paulo,2022-09-22T07:02:28.578Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,187.112.174.46,Paraná,2022-09-22T06:24:02.303Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8180:85bd:e583:5498:ca50:41ae,São Paulo,2022-09-22T05:05:42.135Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,187.112.174.46,Paraná,2022-09-22T01:52:39.952Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8180:85bd:e583:5498:ca50:41ae,São Paulo,2022-09-22T01:28:24.195Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8180:85bd:e99f:ed2d:155d:d568,São Paulo,2022-09-21T21:50:15.721Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:bd3a:46f1:5185:f21b,São Paulo,2022-09-21T21:39:13.490Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,187.112.174.46,Paraná,2022-09-21T18:53:36.392Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:bd3a:46f1:5185:f21b,São Paulo,2022-09-21T18:32:06.842Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,187.112.174.46,Paraná,2022-09-21T17:16:38.991Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:bd3a:46f1:5185:f21b,São Paulo,2022-09-21T15:32:26.837Z
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,170.150.167.106,Paraná,2022-09-21T14:48:36.196Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,187.112.174.46,Paraná,2022-09-21T05:38:33.962Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:bd3a:46f1:5185:f21b,São Paulo,2022-09-21T05:32:36.844Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8180:85bd:9dc:df85:7753:7646,São Paulo,2022-09-21T01:09:34.044Z
NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-0BFB864B996BF606B937E944F75AB87915BBB83A854692F8A67B222761E65D991,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,170.150.167.106,Paraná,2022-09-21T00:57:39.973Z
PCTV000163==295879E2245572FA34FF,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,170.150.167.106,Paraná,2022-09-21T00:44:48.865Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:bd3a:46f1:5185:f21b,São Paulo,2022-09-20T22:52:46.653Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,187.112.174.46,Paraná,2022-09-20T19:55:40.788Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:bd3a:46f1:5185:f21b,São Paulo,2022-09-20T03:57:14.200Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,187.112.174.46,Paraná,2022-09-20T02:53:51.155Z
PCTV000163==295879E2245572FA34FF,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,170.150.167.106,Paraná,2022-09-20T02:28:16.432Z
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,170.150.167.106,Paraná,2022-09-20T00:09:33.574Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:bd3a:46f1:5185:f21b,São Paulo,2022-09-19T21:52:34.657Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:d5ac:59d8:d1cd:100e,São Paulo,2022-09-19T12:59:41.110Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:d5ac:59d8:d1cd:100e,São Paulo,2022-09-18T18:47:30.821Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,187.112.174.46,Paraná,2022-09-18T17:35:15.550Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:d5ac:59d8:d1cd:100e,São Paulo,2022-09-18T10:26:06.716Z
PCTV000163==295879E2245572FA34FF,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,143.208.40.23,Paraná,2022-09-17T23:26:20.922Z
NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-0BFB864B996BF606B937E944F75AB87915BBB83A854692F8A67B222761E65D991,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,143.208.40.23,Paraná,2022-09-17T22:48:23.717Z
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,143.208.40.23,Paraná,2022-09-17T04:41:03.910Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.2.15,Paraná,2022-09-16T23:52:11.917Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.2.71,Paraná,2022-09-15T22:24:44.617Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:d5ac:59d8:d1cd:100e,São Paulo,2022-09-15T19:17:52.764Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2801:b6:200:1213:d5ac:59d8:d1cd:100e,Paraná,2022-09-15T13:59:43.338Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:d5ac:59d8:d1cd:100e,São Paulo,2022-09-15T06:23:01.441Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:85bd:d5ac:59d8:d1cd:100e,São Paulo,2022-09-15T00:05:34.986Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,187.112.174.46,Paraná,2022-09-14T21:58:41.020Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8180:8514:d5ac:59d8:d1cd:100e,São Paulo,2022-09-14T21:36:57.968Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:a65f:d5ac:59d8:d1cd:100e,São Paulo,2022-09-14T05:16:44.240Z
NFANDROID1-PRV-P-ASUS=ASUS=X00QD-7991-0BFB864B996BF606B937E944F75AB87915BBB83A854692F8A67B222761E65D991,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,143.208.40.23,Paraná,2022-09-14T03:51:39.599Z
PCTV000163==295879E2245572FA34FF,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,143.208.40.23,Paraná,2022-09-14T02:46:09.900Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:a65f:d5ac:59d8:d1cd:100e,São Paulo,2022-09-12T21:46:41.304Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2801:b6:200:1213:d5ac:59d8:d1cd:100e,Paraná,2022-09-12T14:07:40.265Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:a65f:d5ac:59d8:d1cd:100e,São Paulo,2022-09-12T02:44:27.787Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.2.71,Paraná,2022-09-11T12:27:56.477Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:a65f:d5ac:59d8:d1cd:100e,São Paulo,2022-09-11T11:57:09.550Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,177.132.37.177,Paraná,2022-09-11T05:56:02.895Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:5fdb:d5ac:59d8:d1cd:100e,São Paulo,2022-09-11T04:50:48.219Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:5fdb:2096:3785:1b09:9faf,São Paulo,2022-09-09T20:12:11.975Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.50,Paraná,2022-09-08T23:05:32.590Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:5fdb:2096:3785:1b09:9faf,São Paulo,2022-09-08T21:32:56.112Z
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,143.208.40.23,Paraná,2022-09-08T18:02:50.201Z
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,143.208.40.23,Paraná,2022-09-08T16:16:35.654Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:9ff5:2096:3785:1b09:9faf,Paraná,2022-09-08T03:36:15.290Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,177.16.73.144,Paraná,2022-09-07T05:01:42.517Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:9ff5:2096:3785:1b09:9faf,Paraná,2022-09-07T03:57:12.935Z
PCTV000163==295879E2245572FA34FF,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,170.150.165.217,Paraná,2022-09-07T02:02:42.884Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:9ff5:2096:3785:1b09:9faf,Paraná,2022-09-05T19:31:13.491Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:9ff5:a818:59ba:2e6:3e52,Paraná,2022-09-05T16:12:42.553Z
PCTV000163==295879E2245572FA34FF,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,170.150.165.217,Paraná,2022-09-05T11:27:42.804Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:9ff5:a818:59ba:2e6:3e52,Paraná,2022-09-05T00:22:54.914Z
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,170.150.165.217,Paraná,2022-09-04T14:54:37.399Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:4be4:31a9:701:89d8:1293:556d:4a6f,Paraná,2022-09-03T05:56:32.917Z
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,170.150.165.217,Paraná,2022-09-02T11:21:01.174Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.50,Paraná,2022-09-02T00:03:10.999Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:9ff5:95b3:e4de:e82f:ff2b,Paraná,2022-09-01T10:47:07.414Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:9ff5:35ba:5d8:3b26:efb4,Paraná,2022-08-31T23:48:45.874Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.231,Paraná,2022-08-30T23:17:30.561Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.231,Paraná,2022-08-30T23:17:30.547Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:9ff5:35ba:5d8:3b26:efb4,Paraná,2022-08-30T20:07:01.848Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:45cc:35ba:5d8:3b26:efb4,São Paulo,2022-08-30T13:11:33.121Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.6,Paraná,2022-08-29T22:04:31.657Z
PCTV000163==05A88C1C9A5811C68075,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,143.208.42.246,Paraná,2022-08-28T16:22:06.023Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.6,Paraná,2022-08-26T22:12:45.359Z
NFANDROID1-PRV-P-SAMSUSM-A525M-19970-0531D2DA944707D1593A3192A46D61142A0A10C114E9057A76D5549BD8CFC27D2,BR,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,2804:7f4:8280:45cc:35ba:5d8:3b26:efb4,São Paulo,2022-08-26T02:42:16.930Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,179.182.240.218,Paraná,2022-08-25T17:19:35.610Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:45cc:418d:7f65:ef93:6360,São Paulo,2022-08-25T16:44:31.756Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:2db2:7111:c05b:37e4:2b56,São Paulo,2022-08-25T04:49:44.272Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,177.96.105.29,Paraná,2022-08-25T04:27:01.924Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:2db2:84fc:8272:73f2:5ae1,São Paulo,2022-08-25T03:42:50.919Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,177.96.105.29,Paraná,2022-08-25T02:37:41.882Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:2db2:84fc:8272:73f2:5ae1,São Paulo,2022-08-25T02:17:54.773Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:2db2:6961:dae1:cd1f:d2db,São Paulo,2022-08-24T22:34:37.132Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,177.96.105.29,Paraná,2022-08-24T22:12:38.611Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:2db2:6500:f775:f5be:f9a2,São Paulo,2022-08-24T18:18:42.128Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,177.96.105.29,Paraná,2022-08-24T17:57:07.537Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:2db2:6500:f775:f5be:f9a2,São Paulo,2022-08-24T17:46:37.378Z
NFCDOP-01-JHD4Z8XE31YDCHCJFTNA5Y0CDTNRRC,BR,Netflix Opera Other,Netflix Opera Other,143.208.42.246,Paraná,2022-08-24T12:06:06.747Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,179.182.246.244,Paraná,2022-08-24T03:31:19.080Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:c732:9564:1c64:b601:1601,São Paulo,2022-08-24T02:37:46.311Z
PHTV14OPM1-31-03-15-01-0000000000000188278,BR,Philips 2014 MT5580 based TVs Smart TV,Philips 2014 MT5580 based TVs Smart TV,45.234.1.168,Paraná,2022-08-23T22:15:03.241Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,179.182.246.244,Paraná,2022-08-23T20:26:06.934Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:c732:11e9:c866:fbcb:b9ba,São Paulo,2022-08-23T16:02:24.471Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:c732:2594:be1b:c477:d314,São Paulo,2022-08-23T04:12:44.556Z
PCTV000163==295879E2245572FA34FF,BR,Panasonic 2016 sLD8a TV Smart TV,Panasonic 2016 sLD8a TV Smart TV,143.208.42.246,Paraná,2022-08-23T01:06:04.172Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,179.182.246.244,Paraná,2022-08-22T21:56:52.192Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,179.182.246.244,Paraná,2022-08-22T03:35:21.895Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,2804:7f4:8280:c732:790d:cfa1:163c:9ff3,São Paulo,2022-08-22T02:29:48.086Z
NFUWA-001-33D1F93B05FF2239249B53D3879EB68EE59C0099DD14A75E0EB5FF7C31902F8B,BR,Netflix Windows App - Cadmium Windows Mobile,Netflix Windows App - Cadmium Windows Mobile,179.182.246.244,Paraná,2022-08-21T21:29:27.771Z
